ID,graphml
paf0,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""CLEON Ier"">      <data key=""d0"">CLEON Ier;Cleon</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel;Demerzel</data>    </node>    <node id=""Lieutenant Alban Wellis"">      <data key=""d0"">Lieutenant Alban Wellis;Wellis</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <edge source=""CLEON Ier"" target=""Hari Seldon"" />    <edge source=""CLEON Ier"" target=""Eto Demerzel"" />    <edge source=""CLEON Ier"" target=""Lieutenant Alban Wellis"" />    <edge source=""CLEON Ier"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Eto Demerzel"" />    <edge source=""Hari Seldon"" target=""Lieutenant Alban Wellis"" />    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Eto Demerzel"" target=""Lieutenant Alban Wellis"" />    <edge source=""Eto Demerzel"" target=""Hummin"" />    <edge source=""Lieutenant Alban Wellis"" target=""Hummin"" />  </graph></graphml>"
paf1,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Cleon Ier"">      <data key=""d0"">Cleon Ier</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon;Hari Seldon</data>    </node>    <node id=""Marbie"">      <data key=""d0"">Marbie</data>    </node>    <node id=""Alem"">      <data key=""d0"">Alem</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <edge source=""Cleon Ier"" target=""Seldon"" />    <edge source=""Cleon Ier"" target=""Marbie"" />    <edge source=""Cleon Ier"" target=""Alem"" />    <edge source=""Cleon Ier"" target=""Hummin"" />    <edge source=""Cleon Ier"" target=""Demerzel"" />  </graph></graphml>"
paf2,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin;Chetter Hummin</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />  </graph></graphml>"
paf3,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin;M. Hummin;Chetter Hummin</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Chetter"">      <data key=""d0"">Chetter;Chetter Hummin</data>    </node>    <node id=""Cleon"">      <data key=""d0"">Cleon</data>    </node>    <node id=""Empereur"">      <data key=""d0"">Empereur</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Demerzel"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Chetter"" />    <edge source=""Hari Seldon"" target=""Cleon"" />    <edge source=""Hari Seldon"" target=""Empereur"" />    <edge source=""Hummin"" target=""Cleon"" />    <edge source=""Demerzel"" target=""Cleon"" />    <edge source=""Dors"" target=""Cleon"" />    <edge source=""Chetter"" target=""Cleon"" />    <edge source=""Cleon"" target=""Empereur"" />  </graph></graphml>"
paf4,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Lisung Randa"">      <data key=""d0"">Lisung Randa;Randa;Lisung</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Kiangtow Randa"">      <data key=""d0"">Kiangtow Randa;Randa</data>    </node>    <node id=""Jenarr Leggen"">      <data key=""d0"">Jenarr Leggen;Leggen</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Exos"">      <data key=""d0"">Exos</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Lisung Randa"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Kiangtow Randa"" />    <edge source=""Hari Seldon"" target=""Jenarr Leggen"" />    <edge source=""Hari Seldon"" target=""Clowzia"" />    <edge source=""Hari Seldon"" target=""Exos"" />    <edge source=""Hummin"" target=""Lisung Randa"" />    <edge source=""Hummin"" target=""Kiangtow Randa"" />    <edge source=""Hummin"" target=""Jenarr Leggen"" />    <edge source=""Lisung Randa"" target=""Dors"" />    <edge source=""Lisung Randa"" target=""Kiangtow Randa"" />    <edge source=""Lisung Randa"" target=""Jenarr Leggen"" />    <edge source=""Lisung Randa"" target=""Clowzia"" />    <edge source=""Lisung Randa"" target=""Exos"" />    <edge source=""Dors"" target=""Kiangtow Randa"" />    <edge source=""Dors"" target=""Jenarr Leggen"" />    <edge source=""Kiangtow Randa"" target=""Jenarr Leggen"" />    <edge source=""Kiangtow Randa"" target=""Clowzia"" />    <edge source=""Kiangtow Randa"" target=""Exos"" />    <edge source=""Jenarr Leggen"" target=""Clowzia"" />    <edge source=""Jenarr Leggen"" target=""Exos"" />  </graph></graphml>"
paf5,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Seldon"">      <data key=""d0"">Seldon;Hari Seldon</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <node id=""Jenarr Leggen"">      <data key=""d0"">Jenarr Leggen;Leggen;Jenarr</data>    </node>    <node id=""docteur Leggen"">      <data key=""d0"">docteur Leggen;Leggen</data>    </node>    <node id=""Docteur Venabili"">      <data key=""d0"">Docteur Venabili</data>    </node>    <node id=""Hari"">      <data key=""d0"">Hari;Hari Seldon</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Benastra"">      <data key=""d0"">Benastra</data>    </node>    <edge source=""Seldon"" target=""Dors Venabili"" />    <edge source=""Seldon"" target=""Jenarr Leggen"" />    <edge source=""Seldon"" target=""docteur Leggen"" />    <edge source=""Seldon"" target=""Docteur Venabili"" />    <edge source=""Dors Venabili"" target=""Jenarr Leggen"" />    <edge source=""Dors Venabili"" target=""docteur Leggen"" />    <edge source=""Dors Venabili"" target=""Docteur Venabili"" />    <edge source=""Dors Venabili"" target=""Hari"" />    <edge source=""Dors Venabili"" target=""Clowzia"" />    <edge source=""Dors Venabili"" target=""Benastra"" />    <edge source=""Jenarr Leggen"" target=""docteur Leggen"" />    <edge source=""Jenarr Leggen"" target=""Docteur Venabili"" />    <edge source=""Jenarr Leggen"" target=""Hari"" />    <edge source=""Jenarr Leggen"" target=""Clowzia"" />    <edge source=""Jenarr Leggen"" target=""Benastra"" />    <edge source=""docteur Leggen"" target=""Docteur Venabili"" />    <edge source=""docteur Leggen"" target=""Hari"" />    <edge source=""docteur Leggen"" target=""Clowzia"" />    <edge source=""docteur Leggen"" target=""Benastra"" />    <edge source=""Docteur Venabili"" target=""Hari"" />    <edge source=""Docteur Venabili"" target=""Clowzia"" />    <edge source=""Docteur Venabili"" target=""Benastra"" />  </graph></graphml>"
paf6,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Seldon"">      <data key=""d0"">Seldon;Hari Seldon</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel;Demerzel</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <node id=""Cleon"">      <data key=""d0"">Cleon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Leggen"">      <data key=""d0"">Leggen</data>    </node>    <node id=""Hari"">      <data key=""d0"">Hari;Hari Seldon</data>    </node>    <node id=""Randa"">      <data key=""d0"">Randa</data>    </node>    <edge source=""Seldon"" target=""Eto Demerzel"" />    <edge source=""Seldon"" target=""Dors Venabili"" />    <edge source=""Seldon"" target=""Cleon"" />    <edge source=""Eto Demerzel"" target=""Hummin"" />    <edge source=""Eto Demerzel"" target=""Dors Venabili"" />    <edge source=""Eto Demerzel"" target=""Leggen"" />    <edge source=""Eto Demerzel"" target=""Hari"" />    <edge source=""Eto Demerzel"" target=""Randa"" />    <edge source=""Eto Demerzel"" target=""Cleon"" />    <edge source=""Dors Venabili"" target=""Hummin"" />    <edge source=""Dors Venabili"" target=""Leggen"" />    <edge source=""Dors Venabili"" target=""Hari"" />    <edge source=""Dors Venabili"" target=""Randa"" />    <edge source=""Dors Venabili"" target=""Cleon"" />    <edge source=""Cleon"" target=""Hummin"" />    <edge source=""Cleon"" target=""Leggen"" />    <edge source=""Cleon"" target=""Hari"" />    <edge source=""Cleon"" target=""Randa"" />  </graph></graphml>"
paf7,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""Endor Levanian"">      <data key=""d0"">Endor Levanian</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin;Chetter Hummin</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <node id=""Maitre-du-Soleil"">      <data key=""d0"">Maitre-du-Soleil;Maitre-du-Soleil Quatorze;Maitre</data>    </node>    <node id=""Mycogenien"">      <data key=""d0"">Mycogenien</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>    <node id=""Soeurs"">      <data key=""d0"">Soeurs</data>    </node>    <node id=""Goutte-de-Pluie"">      <data key=""d0"">Goutte-de-Pluie;Goutte-de-Pluie Quarante</data>    </node>    <edge source=""Hari Seldon"" target=""Endor Levanian"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Clowzia"" />    <edge source=""Hari Seldon"" target=""Maitre-du-Soleil"" />    <edge source=""Hari Seldon"" target=""Mycogenien"" />    <edge source=""Hari Seldon"" target=""Grisnuage"" />    <edge source=""Hari Seldon"" target=""Soeurs"" />    <edge source=""Hari Seldon"" target=""Goutte-de-Pluie"" />    <edge source=""Endor Levanian"" target=""Dors"" />    <edge source=""Endor Levanian"" target=""Hummin"" />    <edge source=""Endor Levanian"" target=""Clowzia"" />    <edge source=""Endor Levanian"" target=""Maitre-du-Soleil"" />    <edge source=""Endor Levanian"" target=""Mycogenien"" />    <edge source=""Endor Levanian"" target=""Grisnuage"" />    <edge source=""Endor Levanian"" target=""Soeurs"" />    <edge source=""Endor Levanian"" target=""Goutte-de-Pluie"" />    <edge source=""Dors"" target=""Maitre-du-Soleil"" />    <edge source=""Dors"" target=""Mycogenien"" />    <edge source=""Dors"" target=""Soeurs"" />    <edge source=""Hummin"" target=""Maitre-du-Soleil"" />    <edge source=""Hummin"" target=""Mycogenien"" />    <edge source=""Hummin"" target=""Soeurs"" />    <edge source=""Clowzia"" target=""Maitre-du-Soleil"" />    <edge source=""Clowzia"" target=""Mycogenien"" />    <edge source=""Clowzia"" target=""Soeurs"" />    <edge source=""Maitre-du-Soleil"" target=""Mycogenien"" />    <edge source=""Maitre-du-Soleil"" target=""Grisnuage"" />    <edge source=""Maitre-du-Soleil"" target=""Soeurs"" />    <edge source=""Maitre-du-Soleil"" target=""Goutte-de-Pluie"" />    <edge source=""Mycogenien"" target=""Grisnuage"" />    <edge source=""Mycogenien"" target=""Soeurs"" />    <edge source=""Mycogenien"" target=""Goutte-de-Pluie"" />    <edge source=""Grisnuage"" target=""Soeurs"" />    <edge source=""Soeurs"" target=""Goutte-de-Pluie"" />  </graph></graphml>"
paf8,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Chetter Hummin"">      <data key=""d0"">Chetter Hummin;Hummin</data>    </node>    <node id=""Goutte-de-Pluie Quarante-trois"">      <data key=""d0"">Goutte-de-Pluie Quarante-trois;Goutte-de-Pluie</data>    </node>    <node id=""Soeur"">      <data key=""d0"">Soeur;La Soeur</data>    </node>    <node id=""Le Frere"">      <data key=""d0"">Le Frere</data>    </node>    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Chetter Hummin"" />    <edge source=""Hari Seldon"" target=""Goutte-de-Pluie Quarante-trois"" />    <edge source=""Hari Seldon"" target=""Soeur"" />    <edge source=""Hari Seldon"" target=""Le Frere"" />    <edge source=""Dors"" target=""Chetter Hummin"" />    <edge source=""Dors"" target=""Goutte-de-Pluie Quarante-trois"" />    <edge source=""Dors"" target=""Soeur"" />    <edge source=""Dors"" target=""Le Frere"" />    <edge source=""Chetter Hummin"" target=""Goutte-de-Pluie Quarante-trois"" />    <edge source=""Chetter Hummin"" target=""Soeur"" />    <edge source=""Chetter Hummin"" target=""Le Frere"" />    <edge source=""Goutte-de-Pluie Quarante-trois"" target=""Soeur"" />    <edge source=""Goutte-de-Pluie Quarante-trois"" target=""Le Frere"" />    <edge source=""Soeur"" target=""Le Frere"" />  </graph></graphml>"
paf9,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""La Soeur"">      <data key=""d0"">La Soeur;Soeur</data>    </node>    <node id=""Goutte-de-Pluie"">      <data key=""d0"">Goutte-de-Pluie</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors;Dors Venabili</data>    </node>    <node id=""Jennat"">      <data key=""d0"">Jennat</data>    </node>    <edge source=""Hari Seldon"" target=""La Soeur"" />    <edge source=""Hari Seldon"" target=""Goutte-de-Pluie"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Jennat"" />    <edge source=""La Soeur"" target=""Goutte-de-Pluie"" />    <edge source=""La Soeur"" target=""Dors"" />    <edge source=""La Soeur"" target=""Jennat"" />    <edge source=""Goutte-de-Pluie"" target=""Jennat"" />    <edge source=""Dors"" target=""Jennat"" />  </graph></graphml>"
